task_id,title,wave,priority,dependencies,live_test,status,coding_revision,pytest_verdict,live_verdict
PRD-001,Bootstrap and Configuration Contract Closure,Wave 0,P0,None,NOT REQUIRED,VERIFIED,7a23840,PYTEST_VERIFIED,NOT_REQUIRED
PRD-002,Canonical Repository and Distribution Integrity,Wave 0,P0,PRD-001,NOT REQUIRED,VERIFIED,da84030 899c97f 51d1ca7,PYTEST_VERIFIED,NOT_REQUIRED
PRD-003,CLI JSON Output Contract,Wave 0,P1,PRD-001,REQUIRED,VERIFIED,42060d2,PYTEST_VERIFIED,LIVE_VERIFIED
PRD-004,Pre-Commit Terminal Correctness Gates,Wave 1,P0,PRD-003,NOT REQUIRED,VERIFIED,54cd571,PYTEST_VERIFIED,NOT_REQUIRED
PRD-005,"Atomic Commit, Rollback and Crash-Safety Proof",Wave 1,P0,PRD-004,NOT REQUIRED,VERIFIED,83ebef2 f02ba8a,PYTEST_VERIFIED,NOT_REQUIRED
PRD-006,RunCoordinator and Mandatory Workspace Ownership Gateway,Wave 2,P0,PRD-005,NOT REQUIRED,VERIFIED,a052ea8,PYTEST_VERIFIED,NOT_REQUIRED
PRD-007,Canonical Persistent RunRecord,Wave 2,P0,PRD-006,NOT REQUIRED,VERIFIED,0421640 316e296 f3f356f,PYTEST_VERIFIED,NOT_REQUIRED
PRD-008,Resume Integrity and Deterministic Invalidation,Wave 2,P0,PRD-007,NOT REQUIRED,VERIFIED,31d19da reopened S1-S4c through abadb4a (tested) + S5 docs 6e1a846 (final),PYTEST_VERIFIED,NOT_REQUIRED
DEF-DEV-EMPTY-ARRAY,Developer [] answer written as file content (false success),Wave 2,P0,PRD-008,NOT REQUIRED,VERIFIED,fd42e01 (tested; full suite 5106/0/8),PYTEST_VERIFIED,NOT_REQUIRED
PRD-008A,Unified ExecutionPlan / WorkUnit Orchestration,Wave 2,P0,PRD-008 DEF-DEV-EMPTY-ARRAY,REQUIRED,PYTEST_VERIFIED,e1d0e4c eacac0d 933d11b 39cb5c2 2181aec 5f3c846 6a90ff1 594fa16 123d78c b99db27 (tested b99db27; full suite 5200/0/8),PYTEST_VERIFIED,PENDING
PRD-009,Sealed Production Runtime Profile,Wave 2,P0,PRD-008,NOT REQUIRED,VERIFIED,d7163de reopened; 3fb4749 (tested edef49e; focused+full PASSED),PYTEST_VERIFIED,NOT_REQUIRED
PRD-010,kriya doctor --production Deployment Gate,Wave 2,P0,PRD-009,REQUIRED,VERIFIED,aa492ab reopened; d22cb8e 0aa946a edef49e (verified edef49e); logging/state cleanup c7b5734..ba86812 (verified ba86812 5302/0),PYTEST_VERIFIED@ba86812,LIVE_VERIFIED@edef49e
PRD-011,OCI Toolchain Parity and Versioned Execution Images,Wave 3,P0,PRD-010,REQUIRED,VERIFIED,54ad798 reopened; closure 0b4913c b6bdbe4 1996255 e1dfe21 12ce81d b2bd88f 9b046c3; final-review correction 6568f11,PYTEST_VERIFIED@99c2340 (5399/0),LIVE_VERIFIED@99c2340
PRD-012,Production Egress and MCP Containment Enforcement,Wave 3,P0,PRD-011,REQUIRED,VERIFIED,see PRD-012_CODING_HANDOVER.md,PYTEST_VERIFIED@99c2340 (5399/0),LIVE_VERIFIED@99c2340
PRD-013,Exact Local Model Runtime Fingerprint,Wave 4,P0,PRD-012,REQUIRED,READY_FOR_PYTEST_VERIFICATION,see PRD-013_CODING_HANDOVER.md,,
PRD-014,Local Model Qualification Framework,Wave 4,P0,PRD-013,REQUIRED,READY_FOR_PYTEST_VERIFICATION,see PRD-014_CODING_HANDOVER.md,,
PRD-015,Normalized LLM Completion and Protocol Result,Wave 4,P1,PRD-014,REQUIRED,READY_FOR_PYTEST_VERIFICATION,see PRD-015_CODING_HANDOVER.md,,
PRD-016,Tokenizer-Aware Context and Output Budgeting,Wave 4,P1,PRD-015,REQUIRED,READY_FOR_PYTEST_VERIFICATION,see PRD-016_CODING_HANDOVER.md,,
PRD-017,Capability-Aware Fallback Model Transition,Wave 4,P1,PRD-016,REQUIRED,NOT_STARTED,,,
PRD-018,Role-Model Independence Visibility and Per-Role Metrics,Wave 4,P2,PRD-017,REQUIRED,NOT_STARTED,,,
PRD-019,Evidence-Based Model Routing,Wave 4,P2,PRD-018,REQUIRED,NOT_STARTED,,,
PRD-020,Immutable Requirement and Obligation Lineage,Wave 5,P0,PRD-019,REQUIRED,NOT_STARTED,,,
PRD-021,Plan-Time Grounded Existing-Responsibility Ownership,Wave 5,P1,PRD-020,REQUIRED,NOT_STARTED,,,
PRD-022,First-Occurrence Ownership Recovery and Reviewer Evidence,Wave 5,P1,PRD-021,REQUIRED,NOT_STARTED,,,
PRD-023,Derived Contract Change Classification and Escalation,Wave 5,P1,PRD-022,REQUIRED,NOT_STARTED,,,
PRD-024,Brownfield PRE/POST Full-Regression Auto Policy,Wave 5,P0,PRD-023,REQUIRED,NOT_STARTED,,,
